Arquivo, Linha, Coluna, Vulnerabilidade, Descricao
c:\srci\srcimain.cpp, 1108, 20, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1140, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1171, 13, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1241, 19, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1243, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1246, 20, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1251, 19, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1257, 44, Retorno fixo de valores, Funcao esta retornando valores fixos, pode indicar codigo malicioso
c:\srci\srcimain.cpp, 1263, 16, Retorno fixo de valores, Funcao esta retornando valores fixos, pode indicar codigo malicioso
c:\srci\srcimain.cpp, 1366, 12, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1376, 12, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1387, 32, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1388, 28, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1396, 19, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1413, 31, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1414, 28, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1422, 19, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1470, 12, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1471, 12, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1476, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1477, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1478, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1479, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1480, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1481, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1482, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1483, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1484, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1485, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1486, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1488, 14, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1509, 32, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1518, 14, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1520, 12, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1521, 12, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1522, 12, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1523, 12, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 1524, 12, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\teste.cpp, 9, 28, Concatenacao de Strings, Concatenacao de strings pode levar a SQL Injection
